id,name,streetaddress,latlng,postal,province,lic_status,citytown,lic_number,distance,tool_tip_id,lic_first_issue,lic_conditions,applicant_legal_name,app_streetaddress,app_streetaddress2,app_unitnumber,app_citytown,app_prov,app_postal,app_pci,phone,fax,website,email,primary_contact,management,lic_other_information,careservices,capacity,sprinklers_all,sprinklers_nsuites,sprinklers_locations,lic_conditions_details,documents,show_reports,revoked_w_notes,previously_known_as
6107de657c803,Park View Retirement Home,254 Dalhousie Street,"43.1402378,-80.2549141",N3S 3V2,null,Issued,Brantford,S0416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de66e5ec5,Seaforth Retirement Community,100 James Street,"43.5565462,-81.397538",N0K 1W0,null,Issued,Seaforth,S0415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5847a0c,Royal Terrace,600 Whites Road,"43.839913,-80.8439325",N0G 2P0,null,Issued,Palmerston,T0186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5bb7d7a,Royale Place Retirement Residence,2485 Princess Street,"44.2574455,-76.5661928",K7M 3G1,null,Issued,Kingston,N0197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""The Royale Kingston"",""until"":""May 1, 2015""}]"
6107de6017af5,Rubidge Retirement Residence,246 Rubidge Street,"44.3008049,-78.325954",K9J 3P2,null,Issued,Peterborough,T0048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de58e69e2,Russell Meadows Retirement Community,475 Church Street,"45.2564007,-75.3544966",K4R 0A9,null,Issued,Russell,N0108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6863736,RVilla Caledonia Retirement Living,339 Argyle Street S.,"43.0637166,-79.9605945",N3W 1L7,null,Issued,Caledonia,S0441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5eccc9c,RVilla Retirement Living,22 Park Street,"44.0687261,-81.5826485",N0G 2R0,null,Issued,Ripley,S0518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de64c9d0d,Sandfield Place,220 Emma Avenue,"45.0374852,-74.7514835",K6J 5V8,null,Issued,Cornwall,N0020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de54c937f,Scarborough Retirement Residence,148 Markham Road,"43.7407688,-79.2187682",M1M 2Z8,null,Issued,Scarborough,T0139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
